State_name,State_code,JPN_expression,Status,Elector_2016
Alabama,AL,アラバマ,solid_trump,9
Alaska,AK,アラスカ,solid_trump,3
Arizona,AZ,アリゾナ,tossup,11
Arkansas,AR,アーカンソー,solid_trump,6
California,CA,カリフォルニア,solid_clinton,55
Colorado,CO,コロラド,tossup,9
Connecticut,CT,コネティカット,leans_clinton,7
Delaware,DE,デラウェア,likely_clinton,3
District of Columbia,DC,ワシントンD.C.,solid_clinton,3
Florida,FL,フロリダ,tossup,29
Georgia,GA,ジョージア,tossup,16
Hawaii,HI,ハワイ,solid_clinton,4
Idaho,ID,アイダホ,solid_trump,4
Illinois,IL,イリノイ,likely_clinton,20
Indiana,IN,インディアナ,leans_trump,11
Iowa,IA,アイオワ,tossup,6
Kansas,KS,カンサス,likely_trump,6
Kentucky,KY,ケンタッキー,solid_trump,8
Louisiana,LA,ルイジアナ,likely_trump,8
Maine,ME,メーン,leans_clinton,2
Maine_CD1,ME1,メーン１,likely_clinton,1
Maine_CD2,ME2,メーン２,tossup,1
Maryland,MD,メリーランド,solid_clinton,10
Massachusetts,MA,マサチューセッツ,solid_clinton,11
Michigan,MI,ミシガン,tossup,16
Minnesota,MN,ミネソタ,leans_clinton,10
Mississippi,MS,ミシシッピ,likely_trump,6
Missouri,MO,ミズーリ,leans_trump,10
Montana,MT,モンタナ,likely_trump,3
Nebraska,NE,ネブラスカ,solid_trump,2
Nebraska_CD1,NE1,ネブラスカ１,solid_trump,1
Nebraska_CD2,NE2,ネブラスカ２,leans_trump,1
Nebraska_CD3,NE3,ネブラスカ３,solid_trump,1
Nevada,NV,ネバダ,tossup,6
New Hampshire,NH,ニューハンプシャー,tossup,4
New Jersey,NJ,ニュージャージー,leans_clinton,14
New Mexico,NM,ニューメキシコ,leans_clinton,5
New York,NY,ニューヨーク,likely_clinton,29
North Carolina,NC,ノースカロライナ,tossup,15
North Dakota,ND,ノースダコタ,solid_trump,3
Ohio,OH,オハイオ,tossup,18
Oklahoma,OK,オクラホマ,solid_trump,7
Oregon,OR,オレゴン,leans_clinton,7
Pennsylvania,PA,ペンシルベニア,tossup,20
Rhode Island,RI,ロードアイランド,likely_clinton,4
South Carolina,SC,サウスカロライナ,leans_trump,9
South Dakota,SD,サウスダコタ,likely_trump,3
Tennessee,TN,テネシー,solid_trump,11
Texas,TX,テキサス,leans_trump,38
Utah,UT,ユタ,likely_trump,6
Vermont,VT,バーモント,solid_clinton,3
Virginia,VA,バージニア,tossup,13
Washington,WA,ワシントン,likely_clinton,12
West Virginia,WV,ウエストバージニア,solid_trump,5
Wisconsin,WI,ウィスコンシン,tossup,10
Wyoming,WY,ワイオミング,solid_trump,3
